Year,Original,Fitted
"1,985",-347.443,-314.387
"1,986",-290.51,-305.808
"1,988",-328.314,-288.65
"1,989",-325.738,-280.071
"1,990",-184.513,-271.493
"1,991",-266.676,-262.914
"1,992",-218.641,-254.335
"1,993",-193.201,-245.756
"1,994",-238.891,-237.177
"1,995",-216.988,-228.598
"1,996",-312.943,-220.02
"1,997",-182.575,-211.441
"1,998",-259.618,-202.862
"1,999",-132.325,-194.283
"2,000",-145.646,-185.704
"2,001",-236.602,-177.126
"2,002","-1,452.039","-1,452.039"
"2,003","-1,215.812","-1,215.812"
"2,004","-1,366.413","-1,128.972"
"2,005","-1,041.007","-1,042.133"
"2,006",-841.553,-955.293
"2,007",-673.337,-868.454
"2,008",-840.38,-781.615
"2,009",-574.691,-694.775
"2,010",-700.413,-607.936
"2,011",-408.914,-408.914
"2,012",-394.311,-389.917
"2,013",-368.722,-370.919
"2,014",-726.974,-726.974
"2,015",-600.262,-639.873
"2,016",-599.544,-552.773
"2,017",-402.327,-465.672
"2,018",-382.517,-378.572
"2,019",-229.079,-291.471
"2,020",-276.419,-204.371
