Year,Original,Fitted
"1,985",-349.537,-315.256
"1,986",-290.51,-305.972
"1,988",-328.314,-287.406
"1,989",-317.952,-278.123
"1,990",-184.513,-268.84
"1,991",-266.676,-259.557
"1,992",-218.641,-250.274
"1,993",-193.201,-240.991
"1,994",-238.891,-231.708
"1,995",-216.988,-222.425
"1,996",-312.943,-213.142
"1,997",-220.962,-203.859
"1,998",-259.618,-194.576
"1,999",-132.325,-185.293
"2,000",-149.248,-176.01
"2,001",-209.915,-166.727
"2,002","-1,344.67","-1,344.67"
"2,003","-1,215.812","-1,215.812"
"2,004","-1,366.413","-1,366.413"
"2,005","-1,041.007","-1,091.388"
"2,006",-841.553,-816.363
"2,007",-859.07,-750.469
"2,008",-840.38,-684.575
"2,009",-640.102,-618.681
"2,010",-541.019,-552.787
"2,011",-408.914,-486.893
"2,012",-400.024,-420.999
"2,013",-368.722,-355.106
"2,014",-798.481,-798.481
"2,015",-600.262,-694.879
"2,016",-599.544,-591.277
"2,017",-402.327,-487.675
"2,018",-382.517,-384.072
"2,019",-229.079,-280.47
"2,020",-276.419,-176.868
